[19Mar2024 15:47:45.037] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Gottfrid_N, --version, 1.20.1, --gameDir, C:/Users/Gottfrid/AppData/Roaming/PrismLauncher/instances/1.20.1/.minecraft, --assetsDir, C:/Users/Gottfrid/AppData/Roaming/PrismLauncher/assets, --assetIndex, 5, --uuid, bb2d0351fd0f43fba84ac291b43e6b9e, --accessToken, ????????, --userType, msa, --versionType, release, --launchTarget, forgeclient, --fml.forgeVersion, 47.1.101, --fml.fmlVersion, 47.2.2, --fml.mcVersion, 1.20.1, --fml.mcpVersion, 20230612.114412, --width, 854, --height, 480]
[19Mar2024 15:47:45.045] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8.1 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[19Mar2024 15:47:47.052] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[19Mar2024 15:47:47.176] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[19Mar2024 15:47:47.700] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[19Mar2024 15:47:47.741] [main/INFO] [com.teampotato.redirector.Redirector/]: Redirector CoreMod initialized successfully!
[19Mar2024 15:47:47.822] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Gottfrid/AppData/Roaming/PrismLauncher/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23152!/ Service=ModLauncher Env=CLIENT
[19Mar2024 15:47:47.961] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce GTX 1060 3GB/PCIe/SSE2 GL version 4.6.0 NVIDIA 546.65, NVIDIA Corporation
[19Mar2024 15:47:49.062] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-forge-mc1.20.1-2.5.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.063] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Applied-Botanics-forge-1.5.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.064] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appliedenergistics2-forge-15.0.23.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.064] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Architects-Palette-1.20.1-1.3.6.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.064] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-9.2.14-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.064] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "athena-forge-1.20.1-3.1.2.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "badpackets-forge-0.4.3.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "betterfpsdist-1.20.1-4.3.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bloodmagic-1.20.1-3.3.2-44.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Bookshelf-Forge-1.20.1-20.1.9.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Botania-1.20.1-443-FORGE.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cc-tweaked-1.20.1-forge-1.109.6.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chipped-forge-1.20.1-3.0.4.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chunksending-1.20.1-2.8.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "citadel-2.5.4-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "clientcrafting-1.20.1-1.8.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-11.1.118-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.065] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Clumps-forge-1.20.1-12.0.0.3.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.066] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cofh_core-1.20.1-11.0.0.51.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.066] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "connectivity-1.20.1-5.5.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.066] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-forge-1.20.1-12.0.2.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.066] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Cucumber-1.20.1-7.0.7.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.066] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cupboard-1.20.1-2.6.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-forge-5.7.2+1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dankstorage-forge-1.20.1-8.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "decorative_blocks-forge-1.20.1-4.1.3.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamiclightsreforged-1.20.1_v1.6.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "embeddium-0.3.9+mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "embeddiumplus-1.20.1-v1.2.5.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.067] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-1.1.3+1.20.1+forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_loot-0.6.5+1.20.1+forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emiffect-forge-1.1.2+mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emitrades-forge-1.2.1+mc1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EnchantmentDescriptions-Forge-1.20.1-17.0.14.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "exnihilosequentia-1.20.1-5.0.0-build.8.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExtendedCrafting-1.20.1-6.0.6.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExtremeReactors2-1.20.1-2.0.75.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FarmersDelight-1.20.1-1.2.4.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.068] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "farsight-1.20.1-3.6.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fastasyncworldsave-1.20.1-1.7.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Fastload-Reforged-mc1.20.1-3.4.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-6.0.1-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FluxNetworks-1.20.1-7.2.0.14.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FpsReducer2-forge-1.20-2.5.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-chunks-forge-2001.2.6.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-library-forge-2001.1.5.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-quests-forge-2001.3.5.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-teams-forge-2001.2.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FTBQLocalKeys-forge-1.0.0+1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FTBQuestsOptimizer-forge-1.1.5-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Glodium-1.20-1.3-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.069] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "gpumemleakfix-1.20.1-1.8.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "harvestwithease-1.20.1-8.0.1.0-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "HostileNeuralNetworks-1.20.1-5.3.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "iceandfire-2.1.13-1.20.1-beta-4.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "industrial-foregoing-1.20.1-3.5.15.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Jade-1.20.1-forge-11.8.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "JadeAddons-1.20.1-forge-5.2.2.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kotlinforforge-4.10.0-all.jar" of type LIBRARY with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "KubeJS Blood Magic-1.0.1-1.20.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejs-forge-2001.6.4-build.138.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejs-thermal-2001.1.10-build.2.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.070] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejs_botania-1.4.0-forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.071] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejs_extended_crafting-2001.5.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.071] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejs_mystical_agriculture-0.1.0.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.071] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejsdelight-1.1.1.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
[19Mar2024 15:47:49.071] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "LeavesBeGone-v8.0.0-1.20.1-Forge.jar" of type MOD with provider {mods folder locator at C:\Users\Gottfrid\AppData\Roaming\PrismLauncher\instances\1.20.1\.minecraft\mods}
